Software Version            : FRANz 1.2.3
Dataset                     : TESTTREES
Time of Data Analysis       : Fri Mar 10 14:45:34 2023


*** MCMC Parameters ***

Seed                         : 1678488332
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 899
  Initial temperature c0     : 69.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 170
  Nmmax                      : 170

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |        120 |     320825 |   -209.841 |   -258.148 |   17.972 |    4.339 |  0.54 |   3.770 |   3.770 |      0 |
 |        121 |     323521 |   -209.841 |   -260.592 |   14.518 |    4.306 |  0.55 |   2.905 |   2.905 |      0 |
 |        122 |     326217 |   -199.170 |   -246.493 |   18.979 |    4.265 |  0.55 |   1.795 |   1.795 |      0 |
 |        123 |     328913 |   -199.170 |   -254.428 |   16.680 |    4.235 |  0.54 |   2.438 |   2.438 |      0 |
 |        124 |     331609 |   -199.170 |   -251.174 |   13.769 |    4.201 |  0.56 |   1.443 |   1.443 |      0 |
 |        125 |     334305 |   -199.170 |   -247.377 |   13.378 |    4.161 |  0.53 |   1.837 |   1.837 |      0 |
 |        126 |     337001 |   -199.170 |   -248.095 |   16.369 |    4.120 |  0.54 |   0.944 |   0.944 |      0 |
 |        127 |     339697 |   -199.170 |   -255.327 |   15.426 |    4.088 |  0.56 |   3.336 |   3.336 |      0 |
 |        128 |     342393 |   -199.170 |   -245.894 |   14.664 |    4.053 |  0.52 |   1.741 |   1.741 |      0 |
 |        129 |     345089 |   -199.170 |   -248.312 |   13.487 |    4.018 |  0.54 |   2.762 |   2.762 |      0 |
 |        130 |     347785 |   -199.170 |   -246.094 |   12.287 |    3.980 |  0.55 |   0.614 |   0.614 |      0 |
 |        131 |     350481 |   -199.170 |   -241.353 |   11.012 |    3.940 |  0.54 |   2.199 |   2.199 |      0 |
 |        132 |     353177 |   -197.105 |   -239.027 |   14.455 |    3.896 |  0.53 |   1.740 |   1.740 |      0 |
 |        133 |     355873 |   -197.105 |   -253.871 |   13.062 |    3.863 |  0.53 |   3.441 |   3.441 |      0 |
 |        134 |     358569 |   -197.105 |   -252.274 |   15.749 |    3.827 |  0.51 |   2.355 |   2.355 |      0 |
 |        135 |     361265 |   -197.105 |   -242.565 |   15.029 |    3.797 |  0.51 |   1.719 |   1.719 |      0 |
 |        136 |     363961 |   -197.105 |   -251.948 |   14.390 |    3.767 |  0.53 |   3.848 |   3.848 |      0 |
 |        137 |     366657 |   -197.105 |   -243.289 |   15.608 |    3.736 |  0.52 |   1.662 |   1.662 |      0 |
 |        138 |     369353 |   -197.105 |   -241.370 |   17.191 |    3.708 |  0.52 |   0.800 |   0.800 |      0 |
 |        139 |     372049 |   -197.105 |   -244.292 |   13.263 |    3.683 |  0.54 |   2.090 |   2.090 |      0 |
 |        140 |     374745 |   -197.105 |   -242.055 |   14.583 |    3.650 |  0.52 |   2.146 |   2.146 |      0 |
 |        141 |     377441 |   -197.105 |   -245.012 |   14.002 |    3.622 |  0.51 |   2.543 |   2.543 |      0 |
 |        142 |     380137 |   -197.105 |   -249.314 |   13.920 |    3.592 |  0.52 |   3.000 |   3.000 |      0 |
 |        143 |     382833 |   -197.105 |   -238.747 |   16.995 |    3.563 |  0.53 |   3.089 |   3.089 |      0 |
 |        144 |     385529 |   -197.105 |   -239.443 |   15.060 |    3.539 |  0.53 |   0.662 |   0.662 |      0 |
 |        145 |     388225 |   -197.105 |   -235.375 |   13.305 |    3.513 |  0.52 |   2.637 |   2.637 |      0 |
 |        146 |     390921 |   -197.105 |   -250.479 |   13.505 |    3.484 |  0.51 |   2.779 |   2.779 |      0 |
 |        147 |     393617 |   -197.105 |   -246.740 |    9.876 |    3.456 |  0.54 |   1.808 |   1.808 |      0 |
 |        148 |     396313 |   -197.105 |   -237.364 |   10.910 |    3.418 |  0.52 |   1.812 |   1.812 |      0 |
 |        149 |     399009 |   -197.105 |   -238.531 |   12.953 |    3.384 |  0.52 |   3.750 |   3.750 |      0 |
 |        150 |     401705 |   -197.105 |   -242.072 |   12.300 |    3.356 |  0.52 |   2.338 |   2.338 |      0 |
 |        151 |     404401 |   -197.105 |   -231.276 |   13.525 |    3.327 |  0.50 |   3.200 |   3.200 |      0 |
 |        152 |     407097 |   -197.105 |   -234.748 |   10.645 |    3.301 |  0.48 |   3.962 |   3.962 |      0 |
 |        153 |     409793 |   -197.105 |   -241.467 |   13.482 |    3.269 |  0.50 |   2.219 |   2.219 |      0 |
 |        154 |     412489 |   -197.105 |   -230.478 |   12.132 |    3.244 |  0.48 |   3.042 |   3.042 |      0 |
 |        155 |     415185 |   -197.105 |   -239.675 |   14.405 |    3.217 |  0.49 |   3.454 |   3.454 |      0 |
 |        156 |     417881 |   -197.105 |   -233.582 |   14.045 |    3.194 |  0.51 |   1.839 |   1.839 |      0 |
 |        157 |     420577 |   -191.292 |   -229.852 |   13.021 |    3.171 |  0.49 |   2.372 |   2.372 |      0 |
 |        158 |     423273 |   -191.292 |   -232.280 |   13.481 |    3.147 |  0.50 |   0.966 |   0.966 |      0 |
 |        159 |     425969 |   -191.292 |   -240.959 |   14.352 |    3.124 |  0.51 |   3.684 |   3.684 |      0 |
 |        160 |     428665 |   -187.404 |   -222.288 |   12.099 |    3.102 |  0.47 |   1.354 |   1.354 |      0 |
 |        161 |     431361 |   -187.404 |   -232.067 |   15.100 |    3.077 |  0.51 |   2.371 |   2.371 |      0 |
