Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV3049,10,TV3042,10,,,1.028808E+01,0.4060,10,0,95,95,1.028808E+01,,<
TV3050,10,TV3055,10,,,9.055633E+00,0.4847,10,1,95,95,9.055633E+00,
TV3051,10,,,,,0.000000E+00,0.9652,10,0,95,95,,,<
TV3052,9,,,,,0.000000E+00,1.0000,10,0,93,93,,,<
TV3053,8,,,,,0.000000E+00,0.9904,8,0,93,93,,,<
TV3054,8,,,,,0.000000E+00,0.9777,9,0,93,93,,,<
TV3055,10,,,,,0.000000E+00,0.4957,10,0,95,95,,
TV3056,10,TV3055,10,TV3049,10,1.511150E+01,0.8357,10,2,95,95,3.788644E+00,8.285816E+00,<
TV3201,9,,,,,0.000000E+00,1.0000,9,0,93,93,,,<
TV3202,10,,,,,0.000000E+00,0.4836,10,0,95,95,,
TV3203,10,,,,,0.000000E+00,0.5060,10,0,95,95,,,<
TV3204,10,,,,,0.000000E+00,0.9108,10,0,95,95,,,<
TV3205,9,,,,,0.000000E+00,0.9812,10,0,95,95,,,<
TV3206,10,TV3207,10,,,2.120487E+01,0.4994,10,0,95,95,2.120487E+01,
TV3207,10,,,,,0.000000E+00,0.5063,10,0,95,95,,
TV3208,10,,,,,0.000000E+00,0.6962,10,0,95,95,,,<
TV3209,10,TV3011,10,,,7.047732E+00,0.6902,10,1,95,95,7.047732E+00,,<
TV3210,9,,,,,0.000000E+00,0.9791,10,0,93,93,,,<
TV3211,10,TV3213,10,,,1.102074E+01,0.4799,10,1,95,95,1.102074E+01,,<
TV3212,9,,,,,0.000000E+00,0.4979,9,0,93,93,,,<
TV3213,10,TV3211,10,,,1.102074E+01,0.5060,10,1,95,95,1.102074E+01,
TV3214,10,,,,,0.000000E+00,0.7106,10,0,95,95,,,<
TV3215,9,,,,,0.000000E+00,0.5681,9,0,93,93,,,<
TV3216,9,,,,,0.000000E+00,0.4131,9,0,93,93,,
TV3217,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3218,10,,,,,0.000000E+00,0.9754,10,0,95,95,,,<
TV3219,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3220,10,,,,,0.000000E+00,0.9905,10,0,95,95,,,<
TV3221,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3222,10,,,,,0.000000E+00,0.5005,10,0,95,95,,,<
TV3223,10,TV3222,10,,,1.118962E+01,0.5001,10,1,95,95,1.118962E+01,,<
TV3224,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3225,9,,,,,0.000000E+00,0.9911,9,0,93,93,,,<
TV3226,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3227,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3228,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3229,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3230,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3231,10,TV3017,10,,,4.890912E+00,0.3401,10,1,95,95,4.890912E+00,,<
TV3232,9,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
