Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV5261,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5262,10,,,,,0.000000E+00,0.5013,10,0,128,128,,
TV5266,10,,,,,0.000000E+00,0.9609,10,0,128,128,,,<
TV5267,7,,,,,0.000000E+00,0.7304,8,0,121,121,,,<
TV5274,10,,,,,0.000000E+00,0.5689,10,0,128,128,,
TV5276,6,,,,,0.000000E+00,0.9694,6,0,94,94,,,<
TV5280,10,,,,,0.000000E+00,0.5537,10,0,128,128,,,<
TV5286,7,,,,,0.000000E+00,0.9882,7,0,120,120,,,<
TV5287,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5288,10,,,,,0.000000E+00,0.7048,10,0,128,128,,,<
TV5289,9,,,,,0.000000E+00,1.0000,10,0,126,126,,,<
TV5291,10,,,,,0.000000E+00,0.9848,10,0,128,128,,,<
TV5292,10,,,,,0.000000E+00,0.9550,10,0,128,128,,,<
TV5294,10,,,,,0.000000E+00,0.9909,10,0,128,128,,,<
TV5306,10,,,,,0.000000E+00,0.6791,10,0,128,128,,,<
TV5308,7,,,,,0.000000E+00,0.5026,7,0,120,120,,,<
TV5309,7,,,,,0.000000E+00,0.9647,7,0,120,120,,,<
TV5311,9,,,,,0.000000E+00,0.6361,10,0,126,126,,,<
TV5312,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5313,9,,,,,0.000000E+00,0.7711,9,0,125,125,,,<
