Software Version            : FRANz 1.2.3
Dataset                     : cluster_1
Time of Data Analysis       : Wed Apr  5 13:51:38 2023


*** MCMC Parameters ***

Seed                         : 1680727897
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 1557
  Initial temperature c0     : 70.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 269
  Nmmax                      : 269

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |         89 |     410961 |   -344.195 |   -426.052 |   23.182 |    7.365 |  0.61 |   2.534 |   2.534 |      0 |
 |         90 |     415631 |   -344.195 |   -427.565 |   18.988 |    7.292 |  0.61 |   1.719 |   1.719 |      0 |
 |         91 |     420301 |   -344.195 |   -430.115 |   25.458 |    7.204 |  0.59 |   1.212 |   1.212 |      0 |
 |         92 |     424971 |   -344.195 |   -407.687 |   29.665 |    7.140 |  0.59 |   3.779 |   3.779 |      0 |
 |         93 |     429641 |   -344.195 |   -422.243 |   23.693 |    7.085 |  0.61 |   2.654 |   2.654 |      0 |
 |         94 |     434311 |   -344.195 |   -408.689 |   23.621 |    7.019 |  0.61 |   1.506 |   1.506 |      0 |
 |         95 |     438981 |   -344.195 |   -421.935 |   17.555 |    6.953 |  0.59 |   1.547 |   1.547 |      0 |
 |         96 |     443651 |   -344.195 |   -421.011 |   14.880 |    6.867 |  0.61 |   3.887 |   3.887 |      0 |
 |         97 |     448321 |   -344.195 |   -416.219 |   23.603 |    6.767 |  0.60 |   0.555 |   0.555 |      0 |
 |         98 |     452991 |   -344.195 |   -419.463 |   23.661 |    6.706 |  0.59 |   0.858 |   0.858 |      0 |
 |         99 |     457661 |   -344.195 |   -400.605 |   18.205 |    6.647 |  0.59 |   3.292 |   3.292 |      0 |
 |        100 |     462331 |   -344.195 |   -409.208 |   19.743 |    6.570 |  0.59 |   0.896 |   0.896 |      0 |
 |        101 |     467001 |   -344.195 |   -415.740 |   23.109 |    6.502 |  0.59 |   2.358 |   2.358 |      0 |
 |        102 |     471671 |   -344.195 |   -410.005 |   21.835 |    6.444 |  0.58 |   3.211 |   3.211 |      0 |
 |        103 |     476341 |   -344.195 |   -412.746 |   18.359 |    6.384 |  0.60 |   0.801 |   0.801 |      0 |
 |        104 |     481011 |   -344.195 |   -398.169 |   17.443 |    6.314 |  0.58 |   2.884 |   2.884 |      0 |
 |        105 |     485681 |   -344.195 |   -417.353 |   25.634 |    6.243 |  0.59 |   3.583 |   3.583 |      0 |
 |        106 |     490351 |   -344.195 |   -403.293 |   22.529 |    6.195 |  0.58 |   3.847 |   3.847 |      0 |
 |        107 |     495021 |   -344.195 |   -411.943 |   19.177 |    6.141 |  0.60 |   1.206 |   1.206 |      0 |
 |        108 |     499691 |   -344.195 |   -400.828 |   23.732 |    6.079 |  0.58 |   2.277 |   2.277 |      0 |
 |        109 |     504361 |   -344.195 |   -395.999 |   15.898 |    6.030 |  0.58 |   1.883 |   1.883 |      0 |
 |        110 |     509031 |   -344.195 |   -405.574 |   24.176 |    5.958 |  0.59 |   2.703 |   2.703 |      0 |
 |        111 |     513701 |   -335.976 |   -402.944 |   23.159 |    5.912 |  0.58 |   0.638 |   0.638 |      0 |
 |        112 |     518371 |   -335.976 |   -415.094 |   18.817 |    5.864 |  0.60 |   3.852 |   3.852 |      0 |
 |        113 |     523041 |   -335.976 |   -397.197 |   22.189 |    5.807 |  0.59 |   1.948 |   1.948 |      0 |
 |        114 |     527711 |   -329.484 |   -390.351 |   24.515 |    5.759 |  0.58 |   2.182 |   2.182 |      0 |
 |        115 |     532381 |   -329.484 |   -393.454 |   23.430 |    5.716 |  0.59 |   2.176 |   2.176 |      0 |
 |        116 |     537051 |   -329.484 |   -399.358 |   18.446 |    5.672 |  0.58 |   2.306 |   2.306 |      0 |
 |        117 |     541721 |   -329.484 |   -388.216 |   21.510 |    5.618 |  0.56 |   2.254 |   2.254 |      0 |
 |        118 |     546391 |   -329.484 |   -401.559 |   18.308 |    5.571 |  0.56 |   3.653 |   3.653 |      0 |
 |        119 |     551061 |   -329.484 |   -395.664 |   22.762 |    5.518 |  0.57 |   3.808 |   3.808 |      0 |
 |        120 |     555731 |   -329.484 |   -404.060 |   19.902 |    5.476 |  0.57 |   0.521 |   0.521 |      0 |
 |        121 |     560401 |   -329.484 |   -400.026 |   19.848 |    5.428 |  0.57 |   2.785 |   2.785 |      0 |
 |        122 |     565071 |   -329.484 |   -388.601 |   18.072 |    5.382 |  0.57 |   2.616 |   2.616 |      0 |
 |        123 |     569741 |   -329.484 |   -395.198 |   24.103 |    5.331 |  0.57 |   1.726 |   1.726 |      0 |
 |        124 |     574411 |   -329.484 |   -392.787 |   17.277 |    5.294 |  0.56 |   0.602 |   0.602 |      0 |
 |        125 |     579081 |   -329.484 |   -400.844 |   22.731 |    5.243 |  0.57 |   3.922 |   3.922 |      0 |
 |        126 |     583751 |   -329.484 |   -396.355 |   24.323 |    5.205 |  0.56 |   0.461 |   0.461 |      0 |
 |        127 |     588421 |   -329.484 |   -390.524 |   19.924 |    5.170 |  0.57 |   0.798 |   0.798 |      0 |
