Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Thu May  4 18:51:52 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV5080         0.0836 %
TV5140         0.0893 %
TV5175         0.0929 %
TV5199         0.1340 %
TV5241         0.0639 %
TV5243         0.2804 %
TV5246         0.1257 %
TV5249         0.9615 %
TV5251         0.5764 %
TV5254         0.5199 %
TV5257         0.1285 %
TV5274         0.4722 %
TV5280         0.3440 %
TV5309         0.1117 %

TOTAL: 66

*** Locus 9 ***

TV2003         0.3958 %
TV2026         0.2432 %
TV2053         0.3052 %
TV2055         0.4399 %
TV2062         0.4814 %
TV2078         0.1267 %
TV2090         0.1253 %
TV2257         0.1582 %
TV2269         0.0597 %
TV2285         0.2976 %
TV2302         0.4923 %
TV2504         0.4143 %
TV2774         0.2435 %
TV2788         0.6618 %
TV2798         0.1229 %
TV2810         0.5586 %
TV3011         0.7331 %
TV3016         0.1086 %
TV3022         0.5719 %
TV3037         0.0570 %
TV3204         0.0640 %
TV3211         0.0888 %
TV3212         0.2743 %
TV3223         0.0986 %
TV3224         0.1711 %
TV3228         0.2058 %
TV3231         0.1110 %
TV3233         0.0846 %
TV3235         0.1426 %
TV3238         0.1670 %
TV4252         0.0811 %
TV4254         0.5178 %
TV4258         0.5226 %
TV4261         0.1512 %
TV4265         0.7190 %
TV4266         0.0781 %
TV4278         0.8726 %
TV4281         0.0939 %
TV4284         0.7989 %
TV4287         0.1892 %
TV4290         0.1175 %
TV4293         0.5766 %
TV4301         0.0811 %
TV4302         0.2130 %
TV4309         0.3199 %
TV4311         0.0799 %
TV4502         0.5726 %
TV4503         0.1475 %
TV4505         0.4553 %
TV4522         0.1484 %
TV4523         0.3594 %
TV4539         0.2002 %
TV4546         0.1059 %
TV4549         0.0514 %
TV4555         0.1695 %
TV4558         0.0708 %
TV4567         0.2964 %
TV4752         0.7930 %
TV4757         0.7180 %
TV4758         0.0557 %
TV4769         0.9305 %
TV4774         0.8126 %
TV4779         0.7592 %
TV4784         0.1242 %
TV4795         0.1444 %
TV4797         0.3786 %
TV4802         0.1218 %
TV4818         0.0889 %
TV4819         0.3391 %
TV4821         0.0568 %
TV4822         0.2151 %
TV4828         0.2001 %
TV4837         0.2676 %
TV5041         0.1128 %
TV5046         0.0527 %
TV5057         0.2552 %
TV5063         0.1708 %
TV5065         0.1101 %
TV5077         0.3398 %
TV5088         0.0732 %
TV5112         0.0722 %
TV5124         0.2310 %
TV5128         0.1215 %
TV5131         0.1031 %
TV5144         0.0944 %
TV5180         0.1849 %
TV5185         0.1193 %
TV5199         0.0915 %
TV5205         0.4079 %
TV5215         0.3810 %
TV5217         0.3929 %
TV5220         0.5292 %
TV5225         0.1916 %
TV5229         0.0677 %
TV5234         0.1203 %
