Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV3243,9,,,,,0.000000E+00,0.5881,10,0,336,336,,,<
TV3244,10,,,,,0.000000E+00,0.7413,10,0,338,338,,,<
TV3245,10,,,,,0.000000E+00,0.9838,10,0,338,338,,,<
TV4251,10,TV5251,10,,,7.669973E+00,0.8062,10,2,338,338,7.669973E+00,,<
TV4252,9,TV5139,9,TV4305,9,2.588137E+01,0.6506,9,1,336,336,1.857452E+01,5.707073E+00,<
TV4253,6,TV4546,10,,,8.934555E+00,0.4257,6,0,274,274,8.934555E+00,,<
TV4254,9,TV5283,7,TV4503,10,1.280821E+01,0.4589,10,2,336,336,1.234621E+00,5.348873E+00,<
TV4255,10,TV5257,10,,,9.710897E+00,0.4539,10,1,338,338,9.710897E+00,
TV4256,10,TV5139,9,,,1.371764E+01,0.5975,10,0,338,338,1.371764E+01,
TV4257,10,,,,,0.000000E+00,0.8620,10,0,338,338,,,<
TV4258,9,TV4786,10,TV4300,9,1.281789E+01,0.5063,9,2,330,330,7.204857E+00,2.442313E+00,<
TV4259,9,TV4286,10,,,7.360439E+00,0.6506,10,1,336,336,7.360439E+00,,<
TV4260,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4261,10,TV4272,10,,,1.068747E+01,0.5461,10,1,338,338,1.068747E+01,
TV4262,9,TV4261,10,,,1.484262E+01,0.8866,10,0,332,332,1.484262E+01,
TV4263,10,,,,,0.000000E+00,0.9540,10,0,338,338,,,<
TV4264,10,,,,,0.000000E+00,0.9384,10,0,338,338,,,<
TV4265,10,TV4261,10,,,8.548329E+00,0.7184,10,1,338,338,8.548329E+00,,<
TV4266,10,TV4826,9,,,1.428372E+01,0.5334,10,0,338,338,1.428372E+01,,<
TV4267,10,TV5176,9,TV4282,10,1.513658E+01,0.5987,10,2,338,338,3.955684E+00,7.780854E+00,<
TV4268,10,,,,,0.000000E+00,0.8546,10,0,338,338,,,<
TV4269,9,,,,,0.000000E+00,0.7374,9,0,332,332,,,<
TV4270,10,,,,,0.000000E+00,0.9849,10,0,338,338,,,<
TV4271,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4272,10,TV4546,10,,,7.304888E+00,0.4862,10,1,338,338,7.304888E+00,
TV4273,10,TV5225,9,,,8.552377E+00,0.5358,10,0,338,338,8.552377E+00,,<
TV4274,10,,,,,0.000000E+00,0.6054,10,0,338,338,,,<
TV4275,9,,,,,0.000000E+00,0.4634,9,0,330,330,,,<
TV4276,10,,,,,0.000000E+00,0.9221,10,0,338,338,,,<
TV4277,9,TV5123,7,,,6.476046E+00,0.3070,10,0,336,336,6.476046E+00,,<
TV4278,8,TV4546,10,,,9.123647E+00,0.8665,8,1,311,311,9.123647E+00,,<
TV4279,9,,,,,0.000000E+00,0.8982,10,0,335,335,,,<
TV4280,10,,,,,0.000000E+00,0.5980,10,0,338,338,,,<
TV4281,10,,,,,0.000000E+00,0.8909,10,0,338,338,,,<
TV4282,10,,,,,0.000000E+00,0.7168,10,0,338,338,,,<
TV4283,9,,,,,0.000000E+00,0.8406,10,0,336,336,,,<
TV4284,9,TV4287,10,,,9.838911E+00,0.7259,9,1,336,336,9.838911E+00,
TV4285,7,,,,,0.000000E+00,0.5742,8,0,301,301,,,<
TV4286,10,TV4287,10,,,1.289159E+01,0.4525,10,1,338,338,1.289159E+01,,<
TV4287,10,TV4286,10,,,1.289159E+01,0.4896,10,1,338,338,1.289159E+01,
TV4288,10,TV4286,10,TV4284,9,1.351650E+01,0.8935,10,3,338,338,2.730469E-01,5.023132E+00,<
TV4289,9,TV4293,9,,,1.469057E+01,0.7840,10,0,336,336,1.469057E+01,,<
TV4290,9,TV5227,9,,,6.269543E+00,0.3555,10,1,336,336,6.269543E+00,
TV4291,9,TV4547,10,,,7.492290E+00,0.4171,10,1,336,336,7.492290E+00,
TV4292,10,TV4265,10,,,1.470107E+01,0.8077,10,0,338,338,1.470107E+01,,<
TV4293,9,TV5239,8,TV5225,9,1.120543E+01,0.3348,10,2,336,336,2.301318E+00,6.734134E+00
TV4294,9,TV4295,8,TV4295,8,3.348755E+01,1.0000,10,0,336,336,1.831962E+01,1.831962E+01,<
TV4295,8,,,,,0.000000E+00,0.8751,8,0,311,311,,,<
TV4296,10,,,,,0.000000E+00,0.8296,10,0,338,338,,,<
TV4297,9,,,,,0.000000E+00,0.9507,10,0,332,332,,,<
TV4298,9,,,,,0.000000E+00,0.5411,9,0,332,332,,,<
TV4299,10,TV4287,10,,,8.289767E+00,0.7933,10,1,338,338,8.289767E+00,,<
TV4300,9,TV5216,8,,,7.088124E+00,0.3893,9,0,336,336,7.088124E+00,
TV4301,9,TV4305,9,,,7.328036E+00,0.4728,10,1,336,336,7.328036E+00,,<
TV4302,10,TV5232,10,,,6.011910E+00,0.4556,10,1,338,338,6.011910E+00,,<
TV4303,10,,,,,0.000000E+00,0.5824,10,0,338,338,,
TV4304,10,,,,,0.000000E+00,0.7448,10,0,338,338,,,<
TV4305,9,TV4301,9,,,7.328036E+00,0.3791,10,1,336,336,7.328036E+00,
TV4306,9,,,,,0.000000E+00,0.5890,10,0,336,336,,,<
TV4307,10,TV5237,10,,,1.282264E+01,0.8736,10,0,338,338,1.282264E+01,,<
TV4308,10,TV4528,10,,,9.294596E+00,0.4519,10,1,338,338,9.294596E+00,
TV4309,9,,,,,0.000000E+00,0.5842,10,0,336,336,,,<
TV4310,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4311,9,,,,,0.000000E+00,0.8612,10,0,332,332,,,<
TV4312,10,TV5241,10,,,1.006711E+01,0.8368,10,1,338,338,1.006711E+01,,<
TV4313,10,,,,,0.000000E+00,0.9796,10,0,338,338,,,<
TV4314,10,,,,,0.000000E+00,0.4273,10,0,338,338,,
TV4315,7,,,,,0.000000E+00,0.7661,7,0,309,309,,,<
TV4316,10,TV5255,10,TV4317,10,2.160784E+01,0.9731,10,2,338,338,1.055212E+01,6.048764E+00,<
TV4317,10,,,,,0.000000E+00,0.9752,10,0,338,338,,,<
TV4318,10,TV4322,7,TV4315,7,1.335187E+01,0.5528,10,1,338,338,5.602564E+00,6.325251E+00,<
TV4319,10,TV5244,10,,,6.649133E+00,0.4350,10,1,338,338,6.649133E+00,,<
TV4320,9,TV5111,7,,,7.373133E+00,0.5876,10,0,331,331,7.373133E+00,,<
TV4321,8,,,,,0.000000E+00,0.9802,9,0,317,317,,,<
TV4322,7,TV5244,10,,,6.403851E+00,0.3733,7,0,309,309,6.403851E+00,
TV4501,9,,,,,0.000000E+00,0.7086,9,0,332,332,,,<
TV4502,10,,,,,0.000000E+00,0.4274,10,0,338,338,,
TV4503,10,,,,,0.000000E+00,0.8477,10,0,338,338,,,<
TV4504,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4505,10,,,,,0.000000E+00,0.5341,10,0,338,338,,,<
TV4506,9,TV4261,10,,,5.786987E+00,0.4168,9,1,330,330,5.786987E+00,,<
TV4507,10,,,,,0.000000E+00,0.7030,10,0,338,338,,,<
TV4508,9,,,,,0.000000E+00,0.6355,10,0,336,336,,,<
TV4509,10,TV4314,10,,,6.778028E+00,0.4942,10,2,338,338,6.778028E+00,
TV4510,9,,,,,0.000000E+00,0.9156,9,0,330,330,,,<
TV4511,10,,,,,0.000000E+00,0.7419,10,0,338,338,,,<
TV4512,9,,,,,0.000000E+00,0.8899,9,0,332,332,,,<
TV4513,10,TV5129,7,,,8.094721E+00,0.4063,10,0,338,338,8.094721E+00,,<
TV4514,10,TV4513,10,,,7.484798E+00,0.6179,10,1,338,338,7.484798E+00,,<
TV4516,10,TV4517,10,,,6.537436E+00,0.5910,10,2,338,338,6.537436E+00,,<
TV4517,10,TV5124,10,,,1.038408E+01,0.5081,10,1,338,338,1.038408E+01,
TV4518,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4519,9,TV4530,10,,,6.763222E+00,0.3619,9,1,332,332,6.763222E+00,
TV4520,9,,,,,0.000000E+00,0.9478,10,0,332,332,,,<
TV4521,10,,,,,0.000000E+00,0.6989,10,0,338,338,,,<
TV4522,9,TV4544,10,TV4514,10,1.121844E+01,0.4618,10,3,332,332,1.395850E+00,4.301832E+00,<
TV4523,10,,,,,0.000000E+00,0.6406,10,0,338,338,,,<
TV4524,10,TV5128,10,TV4300,9,1.343307E+01,0.8930,10,3,338,338,3.038732E+00,5.434107E+00,<
TV4525,9,TV4532,7,TV4521,10,2.803725E+01,0.5936,9,1,332,332,4.181867E+00,2.089719E+01,<
TV4526,9,,,,,0.000000E+00,0.6884,10,0,335,335,,,<
TV4528,10,TV4308,10,,,9.294596E+00,0.5359,10,1,338,338,9.294596E+00,,<
TV4529,10,,,,,0.000000E+00,0.4266,10,0,338,338,,
TV4530,10,TV4519,9,,,6.763222E+00,0.4814,10,1,338,338,6.763222E+00,,<
