Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV3054,8,,,,,0.000000E+00,0.9837,9,0,320,320,,,<
TV3055,10,TV3050,10,,,1.300183E+01,0.4885,10,1,338,338,1.300183E+01,,<
TV3056,10,TV3055,10,TV3049,10,1.936955E+01,0.5269,10,2,338,338,6.566377E+00,1.030309E+01
TV3201,9,,,,,0.000000E+00,0.7731,9,0,330,330,,,<
TV3202,10,TV3203,10,TV3203,10,2.540966E+01,0.4420,10,1,338,338,1.517963E+01,1.517963E+01,<
TV3203,10,,,,,0.000000E+00,0.6359,10,0,338,338,,,<
TV3204,10,,,,,0.000000E+00,0.9925,10,0,338,338,,,<
TV3205,9,,,,,0.000000E+00,0.9995,10,0,336,336,,,<
TV3206,10,,,,,0.000000E+00,0.9999,10,0,338,338,,,<
TV3208,10,,,,,0.000000E+00,0.9499,10,0,338,338,,,<
TV3209,10,,,,,0.000000E+00,0.7635,10,0,338,338,,,<
TV3210,9,,,,,0.000000E+00,0.9744,10,0,331,331,,,<
TV3211,10,,,,,0.000000E+00,0.5199,10,0,338,338,,
TV3212,9,,,,,0.000000E+00,0.6559,9,0,330,330,,,<
TV3213,10,,,,,0.000000E+00,0.5271,10,0,338,338,,,<
TV3214,10,,,,,0.000000E+00,0.9942,10,0,338,338,,,<
TV3215,9,,,,,0.000000E+00,0.8624,9,0,332,332,,,<
TV3216,9,,,,,0.000000E+00,0.8259,9,0,332,332,,,<
TV3217,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3218,10,,,,,0.000000E+00,0.8236,10,0,338,338,,,<
TV3219,10,,,,,0.000000E+00,0.9857,10,0,338,338,,,<
TV3220,10,,,,,0.000000E+00,0.9928,10,0,338,338,,,<
TV3221,10,,,,,0.000000E+00,0.9544,10,0,338,338,,,<
TV3222,10,,,,,0.000000E+00,0.6671,10,0,338,338,,,<
TV3223,10,,,,,0.000000E+00,0.6413,10,0,338,338,,,<
TV3224,10,,,,,0.000000E+00,0.9894,10,0,338,338,,,<
TV3225,9,,,,,0.000000E+00,0.9864,9,0,330,330,,,<
TV3226,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3227,10,,,,,0.000000E+00,0.9335,10,0,338,338,,,<
TV3228,10,TV4752,10,,,1.246562E+01,0.2983,10,1,338,338,1.246562E+01,
TV3229,10,,,,,0.000000E+00,0.9744,10,0,338,338,,,<
TV3230,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3231,10,,,,,0.000000E+00,0.6420,10,0,338,338,,,<
TV3232,9,,,,,0.000000E+00,0.9984,10,0,336,336,,,<
TV3233,10,,,,,0.000000E+00,0.9967,10,0,338,338,,,<
TV3234,10,TV5059,10,,,1.271140E+01,0.5057,10,1,338,338,1.271140E+01,
TV3235,7,,,,,0.000000E+00,0.9922,7,0,309,309,,,<
