Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Wed Apr  5 14:15:32 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV4292         0.0840 %
TV4296         0.0625 %
TV4305         0.0854 %
TV4314         0.3854 %
TV4502         0.0966 %
TV4506         0.1046 %
TV4507         0.1049 %
TV4509         0.4294 %
TV4530         0.1651 %
TV4550         0.5638 %
TV4552         0.2274 %
TV4555         0.0942 %
TV4556         0.1112 %
TV4566         0.0578 %
TV4567         0.1366 %
TV4762         0.1341 %
TV4791         0.4683 %
TV4800         0.0765 %
TV4819         0.2236 %
TV4823         0.9414 %
TV4828         0.1555 %
TV4830         0.3204 %
TV4837         0.1436 %
TV5001         0.0591 %
TV5117         0.5914 %
TV5119         0.3226 %
TV5120         0.8870 %
TV5128         0.2549 %
TV5227         0.3951 %
TV5241         0.3213 %
TV5251         0.2241 %
TV5254         0.3528 %
TV5269         0.4109 %
TV5280         0.1991 %
TV5304         0.2593 %
TV5305         0.1716 %
TV5310         0.5100 %

TOTAL: 55

