Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV4267,10,TV5176,9,TV4282,10,1.513658E+01,0.5235,10,2,338,338,3.955684E+00,7.780854E+00,<
TV4268,10,,,,,0.000000E+00,0.9374,10,0,338,338,,,<
TV4269,9,,,,,0.000000E+00,0.8604,9,0,332,332,,,<
TV4270,10,,,,,0.000000E+00,0.9945,10,0,338,338,,,<
TV4271,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4272,10,TV4546,10,,,7.304888E+00,0.4436,10,1,338,338,7.304888E+00,
TV4273,10,TV5225,9,,,8.552377E+00,0.6195,10,0,338,338,8.552377E+00,,<
TV4274,10,,,,,0.000000E+00,0.7794,10,0,338,338,,,<
TV4275,9,,,,,0.000000E+00,0.6152,9,0,330,330,,,<
TV4276,10,,,,,0.000000E+00,0.9666,10,0,338,338,,,<
TV4277,9,,,,,0.000000E+00,0.4286,10,0,336,336,,
TV4278,8,TV4546,10,,,9.123647E+00,0.7678,8,1,311,311,9.123647E+00,,<
TV4279,9,,,,,0.000000E+00,0.9568,10,0,335,335,,,<
TV4280,10,,,,,0.000000E+00,0.8271,10,0,338,338,,,<
TV4281,10,,,,,0.000000E+00,0.9393,10,0,338,338,,,<
TV4282,10,,,,,0.000000E+00,0.7413,10,0,338,338,,,<
TV4283,9,,,,,0.000000E+00,0.9243,10,0,336,336,,,<
TV4284,9,TV4287,10,,,9.838911E+00,0.7723,9,1,336,336,9.838911E+00,
TV4285,7,,,,,0.000000E+00,0.6305,8,0,301,301,,,<
TV4286,10,TV4287,10,,,1.289159E+01,0.4516,10,1,338,338,1.289159E+01,,<
TV4287,10,TV4286,10,,,1.289159E+01,0.5145,10,1,338,338,1.289159E+01,
TV4288,10,TV4286,10,TV4284,9,1.351650E+01,0.7609,10,3,338,338,2.730469E-01,5.023132E+00,<
TV4289,9,TV4293,9,,,1.469057E+01,0.6819,10,0,336,336,1.469057E+01,,<
TV4290,9,TV5238,9,,,1.277741E+01,0.3308,10,0,336,336,1.277741E+01,
TV4291,9,TV4547,10,,,7.492290E+00,0.4485,10,1,336,336,7.492290E+00,
TV4292,10,TV4265,10,,,1.470107E+01,0.8173,10,0,338,338,1.470107E+01,,<
TV4293,9,TV5225,9,,,6.734134E+00,0.3742,10,1,336,336,6.734134E+00,,<
TV4294,9,TV4295,8,,,1.831962E+01,0.4851,10,0,336,336,1.831962E+01,,<
TV4295,8,,,,,0.000000E+00,0.4638,8,0,311,311,,,<
TV4296,10,,,,,0.000000E+00,0.9329,10,0,338,338,,,<
TV4297,9,,,,,0.000000E+00,0.9819,10,0,332,332,,,<
TV4298,9,,,,,0.000000E+00,0.7078,9,0,332,332,,,<
TV4299,10,TV4287,10,,,8.289767E+00,0.7603,10,1,338,338,8.289767E+00,,<
TV4300,9,TV5216,8,,,7.088124E+00,0.3965,9,0,336,336,7.088124E+00,
TV4301,9,TV4305,9,,,7.328036E+00,0.4733,10,1,336,336,7.328036E+00,
TV4302,10,TV5232,10,,,6.011910E+00,0.3606,10,1,338,338,6.011910E+00,,<
TV4303,10,,,,,0.000000E+00,0.6935,10,0,338,338,,,<
TV4304,10,,,,,0.000000E+00,0.7451,10,0,338,338,,,<
TV4305,9,,,,,0.000000E+00,0.3778,10,0,336,336,,
TV4306,9,,,,,0.000000E+00,0.7668,10,0,336,336,,,<
TV4307,10,TV5237,10,,,1.282264E+01,0.8740,10,0,338,338,1.282264E+01,,<
TV4308,10,TV4528,10,,,9.294596E+00,0.4533,10,1,338,338,9.294596E+00,,<
TV4309,9,,,,,0.000000E+00,0.7136,10,0,336,336,,,<
TV4310,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4311,9,,,,,0.000000E+00,0.9086,10,0,332,332,,,<
TV4312,10,TV5241,10,,,1.006711E+01,0.7425,10,1,338,338,1.006711E+01,,<
TV4313,10,,,,,0.000000E+00,0.9921,10,0,338,338,,,<
TV4314,10,,,,,0.000000E+00,0.5228,10,0,338,338,,,<
