Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV4268,10,,,,,0.000000E+00,0.9188,10,0,338,338,,,<
TV4269,9,,,,,0.000000E+00,0.8533,9,0,332,332,,,<
TV4270,10,,,,,0.000000E+00,0.9951,10,0,338,338,,,<
TV4271,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4272,10,TV4546,10,,,7.304888E+00,0.6004,10,1,338,338,7.304888E+00,,<
TV4273,10,TV5225,9,,,8.552377E+00,0.6293,10,0,338,338,8.552377E+00,,<
TV4274,10,,,,,0.000000E+00,0.7805,10,0,338,338,,,<
TV4275,9,,,,,0.000000E+00,0.6396,9,0,330,330,,,<
TV4276,10,,,,,0.000000E+00,0.9624,10,0,338,338,,,<
TV4277,9,,,,,0.000000E+00,0.4562,10,0,336,336,,
TV4278,8,TV4546,10,,,9.123647E+00,0.8352,8,1,311,311,9.123647E+00,,<
TV4279,9,,,,,0.000000E+00,0.9514,10,0,335,335,,,<
TV4280,10,,,,,0.000000E+00,0.8396,10,0,338,338,,,<
TV4281,10,,,,,0.000000E+00,0.9493,10,0,338,338,,,<
TV4282,10,,,,,0.000000E+00,0.7352,10,0,338,338,,,<
TV4283,9,,,,,0.000000E+00,0.9190,10,0,336,336,,,<
TV4284,9,TV4287,10,,,9.838911E+00,0.7756,9,1,336,336,9.838911E+00,,<
TV4285,7,,,,,0.000000E+00,0.6215,8,0,301,301,,,<
TV4286,10,TV4287,10,,,1.289159E+01,0.4660,10,1,338,338,1.289159E+01,,<
TV4287,10,TV4286,10,,,1.289159E+01,0.5001,10,1,338,338,1.289159E+01,
TV4288,10,TV4286,10,TV4284,9,1.351650E+01,0.7697,10,3,338,338,2.730469E-01,5.023132E+00,<
TV4289,9,TV4293,9,,,1.469057E+01,0.7523,10,0,336,336,1.469057E+01,,<
TV4290,9,TV5238,9,,,1.277741E+01,0.3846,10,0,336,336,1.277741E+01,
TV4291,9,TV4547,10,,,7.492290E+00,0.4447,10,1,336,336,7.492290E+00,,<
TV4292,10,TV4272,10,,,7.994720E+00,0.5438,10,1,338,338,7.994720E+00,
TV4293,9,TV5225,9,,,6.734134E+00,0.4985,10,1,336,336,6.734134E+00,,<
TV4294,9,TV4295,8,TV4295,8,3.348755E+01,1.0000,10,0,336,336,1.831962E+01,1.831962E+01
TV4295,8,,,,,0.000000E+00,0.9328,8,0,311,311,,
TV4296,10,,,,,0.000000E+00,0.9216,10,0,338,338,,,<
TV4297,9,,,,,0.000000E+00,0.9762,10,0,332,332,,,<
TV4298,9,,,,,0.000000E+00,0.7022,9,0,332,332,,,<
TV4299,10,TV4287,10,,,8.289767E+00,0.7810,10,1,338,338,8.289767E+00,
TV4300,9,TV5216,8,,,7.088124E+00,0.3999,9,0,336,336,7.088124E+00,
TV4301,9,TV4305,9,,,7.328036E+00,0.4778,10,1,336,336,7.328036E+00,,<
TV4302,10,,,,,0.000000E+00,0.3586,10,0,338,338,,
TV4303,10,,,,,0.000000E+00,0.7029,10,0,338,338,,,<
TV4304,10,,,,,0.000000E+00,0.7393,10,0,338,338,,,<
TV4305,9,,,,,0.000000E+00,0.3547,10,0,336,336,,,<
TV4306,9,,,,,0.000000E+00,0.7627,10,0,336,336,,,<
TV4307,10,TV5237,10,,,1.282264E+01,0.8612,10,0,338,338,1.282264E+01,,<
TV4308,10,TV4528,10,,,9.294596E+00,0.4132,10,1,338,338,9.294596E+00,,<
TV4309,9,,,,,0.000000E+00,0.7281,10,0,336,336,,,<
TV4310,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4311,9,,,,,0.000000E+00,0.9160,10,0,332,332,,,<
TV4312,10,TV5241,10,,,1.006711E+01,0.7559,10,1,338,338,1.006711E+01,
TV4313,10,,,,,0.000000E+00,0.9895,10,0,338,338,,,<
TV4314,10,,,,,0.000000E+00,0.5150,10,0,338,338,,,<
TV4315,7,,,,,0.000000E+00,0.7399,7,0,309,309,,,<
TV4316,10,TV5255,10,TV4317,10,2.160784E+01,0.9572,10,2,338,338,1.055212E+01,6.048764E+00,<
TV4317,10,,,,,0.000000E+00,0.9774,10,0,338,338,,,<
TV4318,10,TV4322,7,TV4315,7,1.335187E+01,0.3913,10,1,338,338,5.602564E+00,6.325251E+00,<
TV4319,10,,,,,0.000000E+00,0.4580,10,0,338,338,,
TV4320,9,TV5111,7,,,7.373133E+00,0.5114,10,0,331,331,7.373133E+00,,<
TV4321,8,,,,,0.000000E+00,0.9969,9,0,317,317,,,<
TV4322,7,,,,,0.000000E+00,0.3869,7,0,309,309,,,<
TV4501,9,,,,,0.000000E+00,0.8039,9,0,332,332,,,<
TV4502,10,,,,,0.000000E+00,0.5079,10,0,338,338,,
TV4503,10,,,,,0.000000E+00,0.7947,10,0,338,338,,,<
TV4504,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4505,10,,,,,0.000000E+00,0.7030,10,0,338,338,,,<
TV4506,9,,,,,0.000000E+00,0.3944,9,0,330,330,,,<
TV4507,10,,,,,0.000000E+00,0.9015,10,0,338,338,,,<
TV4508,9,,,,,0.000000E+00,0.7771,10,0,336,336,,,<
TV4509,10,,,,,0.000000E+00,0.5611,10,0,338,338,,
TV4510,9,,,,,0.000000E+00,0.9596,9,0,330,330,,,<
TV4511,10,,,,,0.000000E+00,0.8362,10,0,338,338,,,<
TV4512,9,,,,,0.000000E+00,0.9327,9,0,332,332,,,<
TV4513,10,TV5129,7,,,8.094721E+00,0.3457,10,0,338,338,8.094721E+00,,<
TV4514,10,TV4513,10,,,7.484798E+00,0.5390,10,1,338,338,7.484798E+00,,<
TV4516,10,TV4517,10,,,6.537436E+00,0.4872,10,2,338,338,6.537436E+00,,<
TV4517,10,TV5124,10,,,1.038408E+01,0.4724,10,1,338,338,1.038408E+01,
TV4518,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4519,9,,,,,0.000000E+00,0.3984,9,0,332,332,,,<
TV4520,9,,,,,0.000000E+00,0.9752,10,0,332,332,,,<
TV4521,10,,,,,0.000000E+00,0.6811,10,0,338,338,,,<
TV4522,9,,,,,0.000000E+00,0.5082,10,0,332,332,,,<
TV4523,10,,,,,0.000000E+00,0.7801,10,0,338,338,,,<
TV4524,10,TV5128,10,TV4300,9,1.343307E+01,0.7194,10,3,338,338,3.038732E+00,5.434107E+00,<
TV4525,9,TV4532,7,TV4521,10,2.803725E+01,0.5097,9,1,332,332,4.181867E+00,2.089719E+01,<
TV4526,9,,,,,0.000000E+00,0.8145,10,0,335,335,,,<
TV4528,10,TV4308,10,,,9.294596E+00,0.5625,10,1,338,338,9.294596E+00,
TV4529,10,,,,,0.000000E+00,0.6055,10,0,338,338,,,<
TV4530,10,,,,,0.000000E+00,0.4237,10,0,338,338,,
TV4531,10,TV5221,7,,,8.795620E+00,0.4730,10,0,338,338,8.795620E+00,,<
TV4532,7,,,,,0.000000E+00,0.3693,7,0,311,311,,
TV4533,10,TV4532,7,TV4532,7,2.966934E+01,0.9696,10,0,338,338,1.632150E+01,1.632150E+01,<
TV4535,6,,,,,0.000000E+00,0.9569,6,0,240,240,,,<
TV4536,10,TV5304,10,,,7.800207E+00,0.6039,10,2,338,338,7.800207E+00,,<
TV4537,10,,,,,0.000000E+00,0.9263,10,0,338,338,,,<
TV4539,10,,,,,0.000000E+00,0.8957,10,0,338,338,,,<
