Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Wed Apr 12 15:47:27 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV5025         0.3131 %
TV5026         0.3170 %
TV5115         0.1940 %
TV5172         0.4924 %
TV5175         0.3920 %
TV5245         0.1282 %
TV5251         0.3921 %
TV5257         0.5567 %
TV5258         0.1374 %
TV5262         0.6591 %
TV5263         0.0775 %
TV5281         0.0761 %
TV5288         0.3135 %
TV5292         0.0588 %
TV5306         0.9697 %

TOTAL: 38

*** Locus 8 ***

TV2080         0.2664 %
TV2293         0.1348 %
TV2764         0.2266 %
TV2773         0.1841 %
TV3001         0.1075 %
TV3010         0.4538 %
TV3017         0.1363 %
TV3032         0.0738 %
TV3037         0.0768 %
TV3041         0.2472 %
TV3051         0.1054 %
TV3208         0.6343 %
TV3212         0.1233 %
TV3213         0.0517 %
TV3229         0.1827 %
TV3231         0.0629 %
TV4267         0.6132 %
TV4277         0.1696 %
TV4284         0.0631 %
TV4286         0.0840 %
TV4288         0.8619 %
TV4300         0.0614 %
TV4305         0.1354 %
TV4316         0.9849 %
TV4319         0.0663 %
TV4522         0.2541 %
TV4524         0.8131 %
TV4549         0.3029 %
TV4569         0.3337 %
TV4571         0.1823 %
TV4757         0.1251 %
TV4781         0.2514 %
TV4796         0.0837 %
TV4821         0.1816 %
TV5059         0.0806 %
TV5080         0.0530 %
TV5175         0.0677 %
TV5199         0.0847 %
TV5241         0.0518 %
TV5243         0.1559 %
TV5246         0.0552 %
TV5249         0.9120 %
TV5251         0.5015 %
TV5254         0.4066 %
TV5255         0.0826 %
TV5257         0.1212 %
TV5274         0.4168 %
TV5280         0.3584 %

TOTAL: 48

*** Locus 9 ***

TV2003         0.2792 %
TV2026         0.1936 %
TV2053         0.2829 %
TV2055         0.4060 %
TV2062         0.4354 %
TV2078         0.0608 %
TV2090         0.0639 %
TV2257         0.0682 %
TV2285         0.2957 %
TV2302         0.3646 %
TV2504         0.1947 %
TV2774         0.2438 %
TV2788         0.5482 %
TV2798         0.0607 %
TV2810         0.4861 %
TV3011         0.5474 %
TV3016         0.0529 %
TV3022         0.4371 %
TV3211         0.1111 %
TV3212         0.2809 %
TV3223         0.0591 %
TV3224         0.0949 %
TV3228         0.2044 %
TV3231         0.2106 %
TV3235         0.0603 %
TV3238         0.1013 %
TV4252         0.0663 %
TV4254         0.4409 %
TV4258         0.3099 %
TV4265         0.2088 %
TV4278         0.8405 %
TV4284         0.8137 %
TV4287         0.1714 %
TV4290         0.0773 %
TV4293         0.5253 %
TV4302         0.2566 %
TV4309         0.2179 %
TV4502         0.4906 %
TV4503         0.2036 %
TV4505         0.2905 %
TV4522         0.0914 %
TV4523         0.2199 %
TV4539         0.1043 %
TV4546         0.1252 %
TV4555         0.0940 %
TV4567         0.1141 %
TV4752         0.7949 %
TV4757         0.6327 %
TV4760         0.0813 %
TV4769         0.8962 %
TV4774         0.6669 %
TV4779         0.6631 %
TV4784         0.0681 %
TV4795         0.1289 %
TV4797         0.4052 %
TV4802         0.1274 %
TV4819         0.2250 %
TV4822         0.1611 %
TV4828         0.1566 %
TV4837         0.1475 %
TV5041         0.1051 %
TV5057         0.1485 %
TV5063         0.1301 %
TV5065         0.0643 %
TV5077         0.2042 %
TV5112         0.0524 %
TV5124         0.1604 %
TV5128         0.0789 %
TV5180         0.1037 %
TV5185         0.0703 %
TV5199         0.0573 %
TV5205         0.3255 %
TV5215         0.1590 %
TV5217         0.3449 %
TV5220         0.4832 %
TV5225         0.3289 %
TV5234         0.0571 %
TV5235         0.1997 %
TV5236         0.4390 %
TV5241         0.0686 %
TV5245         0.0568 %
TV5246         0.0757 %
TV5248         0.5742 %
TV5251         0.5054 %
TV5255         0.5013 %
TV5258         0.1258 %
TV5259         0.1062 %
TV5277         0.3153 %
TV5280         0.0824 %
TV5286         0.2109 %
TV5300         0.1237 %
TV5311         0.5481 %

TOTAL: 92

*** Locus 10 ***

TV2068         0.0527 %
TV2293         0.1404 %
TV2762         0.3605 %
TV2792         0.0555 %
TV2796         0.0918 %
TV3035         0.0650 %
