Software Version            : FRANz 1.2.3
Dataset                     : cluster_1
Time of Data Analysis       : Wed Apr  5 13:59:36 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV4261         0.0515 %
TV4273         0.0819 %
TV4507         0.0850 %
TV4531         0.0601 %
TV4571         0.2056 %
TV4780         0.1550 %
TV4829         0.1527 %
TV5172         0.4863 %
TV5225         0.3866 %
TV5244         0.0503 %
TV5251         0.3613 %
TV5257         0.6206 %
TV5258         0.1146 %
TV5263         0.0717 %
TV5281         0.0794 %

TOTAL: 48

*** Locus 8 ***

TV2773         0.1869 %
TV3001         0.0800 %
TV3032         0.0655 %
TV3212         0.0990 %
TV3229         0.3459 %
TV3233         0.0621 %
TV4284         0.0667 %
TV4288         0.8202 %
TV4300         0.0540 %
TV4524         0.8300 %
TV4533         0.9249 %
TV4757         0.0947 %
TV4781         0.2339 %
TV4796         0.0937 %
TV4818         0.0527 %
TV4821         0.1870 %
TV5175         0.1144 %
TV5199         0.0859 %
TV5243         0.1459 %
TV5249         0.9121 %
TV5274         0.4061 %
TV5280         0.3140 %
TV2080         0.3027 %
TV2265         0.0535 %
TV2293         0.1490 %
TV2764         0.2337 %
TV3010         0.5047 %
TV3017         0.0956 %
TV3041         0.2526 %
TV3051         0.1114 %
TV3208         0.6620 %
TV3231         0.0631 %
TV3240         0.1151 %
TV4319         0.0732 %
TV4569         0.3503 %
TV5080         0.0629 %
TV5241         0.0523 %
TV3042         0.1761 %
TV4261         0.0575 %
TV4267         0.6340 %
TV4277         0.1417 %
TV4305         0.1282 %
TV4316         0.9933 %
TV4522         0.2383 %
TV4549         0.2980 %
TV4571         0.2056 %
TV5251         0.4768 %
TV5254         0.3451 %
TV5255         0.0581 %
TV5257         0.1113 %

TOTAL: 50

*** Locus 9 ***

TV2078         0.0620 %
TV2302         0.3852 %
TV2798         0.0610 %
TV3011         0.5574 %
TV3212         0.3633 %
TV3228         0.2416 %
TV3233         0.0621 %
TV3235         0.0515 %
TV4254         0.4494 %
TV4258         0.3110 %
TV4284         0.7834 %
TV4290         0.0637 %
TV4302         0.2336 %
TV4311         0.0506 %
TV4502         0.4957 %
TV4503         0.1897 %
